src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.73,192.168.10.50,56206,21,6,2025-10-25 16:01:06,9.40838,220.54806459773098,2.8697820453680656,1.1691704629277304,1.7006115824403352,11,16,839,1236,86,66,76.27272727272727,5.769684237317247,100,54,77.25,14.489220130842101,100,54,76.85185185185185,11.755861276334562,138.20027434842248,220,320,20,7,0.3618607692307692,3.391331,0.0,0.9883999446231776,9.408357,3.432959,0.0,0.9408357,1.4416646137953895,9.408356,3.391331,6.4e-05,0.6272237333333333,1.235683817659273,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.85185185185185,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.27272727272727,77.25,0,11,16,839,1236
192.168.10.73,192.168.10.50,56216,21,6,2025-10-25 16:01:06,8.890682,233.5028966281777,3.036887383892484,1.237250415659901,1.7996369682325832,11,16,840,1236,86,66,76.36363636363636,5.819602099374262,100,54,77.25,14.489220130842101,100,54,76.88888888888889,11.764143051170155,138.39506172839506,220,320,20,7,0.3419493076923077,3.262161,0.0,0.9391269239933099,8.890648,3.305441,0.0,0.8890648000000001,1.3718954415495228,8.890664,3.262161,7.3e-05,0.5927109333333334,1.1747776093242763,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.88888888888889,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.36363636363636,77.25,0,11,16,840,1236
192.168.10.73,192.168.10.50,56232,21,6,2025-10-25 16:01:06,3.285359,465.0937690523319,6.087614778171883,3.0438073890859414,3.0438073890859414,10,10,731,797,81,66,73.1,6.204030947698439,100,66,79.7,13.296992141082132,100,66,76.4,10.887607634370372,118.54,200,200,20,4,0.17291363157894735,3.204138,0.0,0.7145650768222003,3.285359,3.246655,0.0,0.3650398888888889,1.0188702712854123,3.285322,3.204138,0.000118,0.3650357777777778,1.0038977770068445,4,5,0,0,2,3,0,9,18,0,0,1.0,76.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,79.7,0,10,10,731,797
192.168.10.73,192.168.10.50,56238,21,6,2025-10-25 16:01:06,9.257308,224.47130418475868,2.9166146357018694,1.1882504071377986,1.7283642285640706,11,16,842,1236,86,66,76.54545454545455,5.898592071821213,100,54,77.25,14.489220130842101,100,54,76.96296296296296,11.777195420030662,138.7023319615912,220,320,20,7,0.3560503076923076,3.217345,0.0,0.9717749624885371,9.25727,3.260101,0.0,0.925727,1.4162737131803302,9.257287999999999,3.217345,7.5e-05,0.6171525333333333,1.2147963889485276,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.96296296296296,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.54545454545455,77.25,0,11,16,842,1236
192.168.10.73,192.168.10.50,56254,21,6,2025-10-25 16:01:06,8.941673,232.8423327491399,3.0195691566891343,1.2301948416140918,1.7893743150750425,11,16,846,1236,86,66,76.9090909090909,6.215150776413531,100,54,77.25,14.489220130842101,100,54,77.11111111111111,11.839461115531096,140.1728395061728,220,320,20,7,0.3439104999999999,3.208254,0.0,0.9411249367554869,8.941645,3.252658,0.0,0.8941645000000001,1.3741207620684763,8.941658,3.208254,4.4e-05,0.5961105333333333,1.1768208662507003,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,77.11111111111111,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9090909090909,77.25,0,11,16,846,1236
192.168.10.73,192.168.10.50,56266,21,6,2025-10-25 16:01:06,8.820289,235.02631262989226,3.0611241876541686,1.2471246690442908,1.8139995186098776,11,16,837,1236,84,66,76.0909090909091,5.583328193739668,100,54,77.25,14.489220130842101,100,54,76.77777777777777,11.723143723653315,137.4320987654321,220,320,20,7,0.3392418846153846,3.339325,0.0,0.9356645079371841,8.820262999999999,3.382691,0.0,0.8820262999999999,1.3686121038432364,8.820269,3.339325,8.1e-05,0.5880179333333333,1.1709807811127368,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.77777777777777,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0909090909091,77.25,0,11,16,837,1236
192.168.10.73,192.168.10.50,56276,21,6,2025-10-25 16:01:06,8.941056,249.07572438870756,3.243464754051423,1.3421233465040372,1.901341407547386,12,17,925,1302,86,66,77.08333333333333,6.06160503130611,100,54,76.58823529411765,14.303676300495006,100,54,76.79310344827586,11.627492125442592,135.19857312722948,240,340,20,7,0.31932342857142865,3.418036,0.0,0.9145386046721057,8.941041,3.462974,0.0,0.8128219090909089,1.34092945242961,8.94104,3.418036,5.4e-05,0.558815,1.1531855590156554,7,7,0,0,2,3,1,14,26,0,0,1.4166666666666667,76.79310344827586,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.08333333333333,76.58823529411765,0,12,17,925,1302
192.168.10.73,192.168.10.50,56290,21,6,2025-10-25 16:01:06,8.623798,240.4972843751674,3.1308711080663065,1.2755400810640507,1.8553310270022556,11,16,838,1236,86,66,76.18181818181819,5.812497222962103,100,54,77.25,14.489220130842101,100,54,76.81481481481481,11.766358312097648,138.4471879286694,220,320,20,7,0.33168453846153845,3.24817,0.0,0.9130354473634059,8.623759,3.291166,0.0,0.8623759,1.335532364567063,8.62378,3.24817,7.4e-05,0.5749186666666666,1.1424223087407253,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.81481481481481,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.18181818181819,77.25,0,11,16,838,1236
192.168.10.73,192.168.10.50,56306,21,6,2025-10-25 16:01:06,9.021826,229.8869430645193,2.9927422674744557,1.2192653682303338,1.7734768992441219,11,16,838,1236,86,66,76.18181818181819,5.812497222962103,100,54,77.25,14.489220130842101,100,54,76.81481481481481,11.766358312097648,138.4471879286694,220,320,20,7,0.34699330769230763,3.31145,0.0,0.9494030911830367,9.021802000000001,3.354261,0.0,0.9021802000000001,1.3859236110389923,9.021811,3.31145,6.3e-05,0.6014540666666667,1.1871497110968197,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.81481481481481,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.18181818181819,77.25,0,11,16,838,1236
192.168.10.73,192.168.10.50,40870,21,6,2025-10-25 16:01:09,8.78562,236.8643305765558,3.0732037124300846,1.2520459569159603,1.8211577555141243,11,16,845,1236,86,66,76.81818181818181,6.278653327211639,100,54,77.25,14.489220130842101,100,54,77.07407407407408,11.853819281145995,140.51303155006858,220,320,20,7,0.3379084615384616,3.190132,0.0,0.9232733054263315,8.785583,3.231595,0.0,0.8785583000000001,1.347289708985714,8.785601,3.190132,7.4e-05,0.5857067333333333,1.1543045710742879,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,77.07407407407408,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.81818181818181,77.25,0,11,16,845,1236
192.168.10.73,192.168.10.50,40882,21,6,2025-10-25 16:01:15,9.650728,214.59520981215093,2.797716400254986,1.1398103852890682,1.6579060149659175,11,16,835,1236,82,66,75.9090909090909,5.29930605155988,100,54,77.25,14.489220130842101,100,54,76.70370370370371,11.674012972203322,136.28257887517145,220,320,20,7,0.3711818461538462,3.40209,0.0,1.013794076906142,9.65071,3.444117,0.0,0.965071,1.4765255100529078,9.650709,3.40209,4.3e-05,0.6433806,1.26742178240925,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.70370370370371,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9090909090909,77.25,0,11,16,835,1236
192.168.10.73,192.168.10.50,40884,21,6,2025-10-25 16:01:15,8.459077,245.653278720598,3.1918375964659025,1.3003782800416641,1.8914593164242386,11,16,842,1236,86,66,76.54545454545455,5.97515517278363,100,54,77.25,14.489220130842101,100,54,76.96296296296296,11.79290898514703,139.07270233196155,220,320,20,7,0.3253491153846154,2.868739,0.0,0.8852331145200085,8.459047,2.912002,0.0,0.8459047000000002,1.2921035874698321,8.459043,2.868739,7.4e-05,0.5639362,1.1062373167200727,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.96296296296296,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.54545454545455,77.25,0,11,16,842,1236
192.168.10.73,192.168.10.50,40886,21,6,2025-10-25 16:01:15,8.963906,231.0376748707539,3.0120797786143676,1.2271436135095573,1.7849361651048103,11,16,835,1236,82,66,75.9090909090909,5.3164332789867075,100,54,77.25,14.489220130842101,100,54,76.70370370370371,11.677185146654374,136.35665294924553,220,320,20,7,0.34476561538461536,3.236381,0.0,0.9466251248314507,8.963876,3.28047,0.0,0.8963876000000001,1.382798033621917,8.963875,3.236381,6.8e-05,0.5975916666666667,1.184126901817181,7,7,0,0,1,3,1,14,24,0,0,1.4545454545454546,76.70370370370371,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9090909090909,77.25,0,11,16,835,1236
